original_title,is_tech,category,skills
"Senior Frontend Developer – Angular, Firma: Greentube Slovakia s. r. o.",True,IT/Software,"['Angular', 'Frontend Development']"
"Backend Developer (Node.js/Typescript), Firma: SourceFirst International s. r. o.",True,IT/Software,"['Node.js', 'Typescript', 'Backend Development']"
"Frontend Developer (Medior/Senior), Firma: ESET, spol. s r.o.",True,IT/Software,"['Frontend Development', 'JavaScript', 'React']"
"Senior Site Reliability Engineer, Firma: Caterpillar Slovakia, s. r. o.",True,IT/Software,"['DevOps', 'Continuous Integration/Continuous Delivery', 'Cloud Computing']"
"Full-stack Java developer - Java & JavaScript (M/Ž), Firma: ČSOB Finančná skupina",True,IT/Software,"['Java', 'JavaScript', 'Frontend Development']"
"CMS Senior Developer (Wordpress), Firma: Rare Crew s. r. o.",True,IT/Software,"['WordPress', 'CMS Development']"
"Senior Full-stack QA Engineer, Firma: Ciklum",True,IT/Software,"['QA Testing', 'Software Testing']"
"Senior React Developer (Video & Image processing), Firma: SourceFirst International s. r.o.",True,IT/Software,"['React', 'JavaScript', 'Frontend Development']"
"Fullstack Developer (React oriented), Firma: SourceFirst International s. r.o.",True,IT/Software,"['React', 'JavaScript', 'Frontend Development']"
SW Tester/Engineer Žilina,True,IT,"['SW Testing', 'Testing']"
"Software Architect - Letectvo, Firma: Indra Avitech, s. r. o.",True,IT,"['Software Architecture', 'Software Design']"
"Senior IX/UI Designer (f/m/d) for digital products and healthcare IT, Firma: Siemens Slovensko.",True,IT,"['UI Design', 'IX Design', 'Digital Products', 'Healthcare IT']"
"Experienced Developer - Java/C# or Golang, Firma: ESET, spol. s r.o.",True,IT,"['Java', 'C#', 'Golang', 'Software Development']"
"Experienced Software Engineer (Python), Firma: Solar Turbines Slovakia s.r.o.",True,IT,"['Python', 'Software Development']"
"Software Engineer DevOps, Firma: Software AG Development Center Slovakia, s. r. o.",True,IT,"['DevOps', 'Software Development']"
"Software Engineer, Firma: LIBERDA Sensortechnik k.s.",True,IT,['Software Development']
"AI Software Engineer (Java, React, LLM), Firma: SourceFirst International s.r.o.",True,IT,"['AI', 'Java', 'React', 'LLM', 'Machine Learning']"
"Software Engineering Team Lead, Firma: Siemens Slovensko",True,IT,"['Software Engineering', 'Team Leadership']"
"Cloud Software Developer (m/f/d), Firma: StreamUnlimited Slovakia s. r. o.",True,IT,"['Cloud', 'Software Development']"
"Lead .NET Software Engineer for Computed Tomography, Firma: Siemens Slovensko",True,IT,"['.NET', 'Java', 'CT', 'Software Development']"
"Software Developer SAP Platform, Firma: HENKEL SLOVENSKO, spol. s r.o.",True,IT,"['SAP', 'Java', 'Software Development']"
"Python Engineer, Firma: Pro HR",True,IT,"['Python', 'Software Development']"
"Python Software Developer, Firma: Nokia Slovakia, a.s.",True,IT,"['Python', 'Software Development']"
"Lead C# NET angular Software Engineer (kontrakt /home-office/5000 - 8100 €, Firma: Pro HR",True,IT,"['C#', 'NET', 'Angular', 'Software Development']"
"Lead Java Application Engineer (Java 21, Spring Boot 3, REST API, Agile, Cloud, Databases), Firma: SourceFirst International s.r.o.",True,IT,"['Java', 'Spring Boot', 'REST API', 'Agile', 'Cloud', 'Databases']"
"Cloud Engineer, Firma: Swiss Re",True,IT,"['Cloud', 'AWS', 'Azure', 'GCP']"
"Senior Java Engineer (Java, Springboot, Azure/AWS/GCP), Firma: SourceFirst International s.r.o.",True,IT,"['Java', 'Springboot', 'Azure', 'AWS', 'GCP']"
"Senior Java Application Engineer, Firma: Swiss Re",True,IT,"['Java', 'Springboot', 'Azure', 'AWS', 'GCP']"
"Medior Cloud Engineer (Azure, Kubernetes, Golang), Firma: SourceFirst International s.r.o.",True,IT,"['Azure', 'Kubernetes', 'Golang']"
"Senior Python Software Engineer (Air Traffic Management), Firma: FREQUENTIS Solutions & Services s. r. o.",True,IT,"['Python', 'Air Traffic Management']"
Python Engineer (Spark/PySpark),True,Software,"['Python', 'Spark', 'PySpark', 'Data Engineering']"
Code Commander (Software Team Lead),True,Software,"['Software Leadership', 'Team Management', 'Software Development']"
Lead AI integration / Software Engineer (kontrakt /home-office/5000 - 8100 €),True,Software,"['AI', 'Software Development', 'Integration', 'Data Science']"
Software Quality Engineer (R&D),True,Software,"['Software Testing', 'Quality Assurance', 'R&D']"
"Technical Lead, Firma: SYNOT Games SK s.r.o.",True,Software,"['Technical Leadership', 'Software Development', 'Game Development']"
